#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
114;Ljudi u Podhumu znaju ko im je povjerenik MZ.;People in Podhum know who their MZ commissioner is.;men;life together;2.0;1.0;3.0;6;9.6;;;9;6.0;Mjesna zajednica;0;0;0;Rights & Dignity;0;1.0;1.0;2.08137;1.830508;1.433628;2.745763;1.614618;0.0
126;Mostar nije zatrpan smećem iako postoje 4 komunalna preduzeća.;Mostar is not drowning in garbage even though there are four waste collection companies;men;life together;1.0;2.0;3.0;6;18.1;10.7;;18;10.0;Waste management Services;10;7.0;Animals;Rights & Dignity;Rights & Dignity;-1.0;1.0;2.08137;0.915254;2.867257;2.745763;0.725373;1.894737
192;Postoji kućni red u naselju.;There is a code of conduct in the neighborhood.;women;life together;3.0;3.0;;6;3.2;6.12;;3;2.0;Public Ownership;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;;;2.08137;2.745763;4.300885;0.0;0.252468;2.136364
203;Povjerenik MZ u Podhumu zove komunalno preduzeće kad padne grana tokom bure.;The commissioner of Podhum's MZ calls the public utility company when branches fall during a storm.;men;life together;1.0;2.0;3.0;6;9.6;10.7;;9;6.0;Mjesna zajednica;10;7.0;Animals;Rights & Dignity;Rights & Dignity;;;2.08137;0.915254;2.867257;2.745763;1.614618;1.894737
266;U Mostaru nema preglasne muzike iz ljetnih bašta kafića.;There is no loud music from summer cafe gardens;women;life together;2.0;2.0;2.0;6;3.0;;;3;0.0;Public space;0;0;0;Culture & Society;0;0.0;2.0;2.08137;1.830508;2.867257;1.830508;0.252468;0.0
30;Djeca u Mostaru se kroz bavljenje kolektivnim sportovima (rukomet, i sl.) upoznavaju djecu iz čitavog grada.;Children in Mostar meet peers from all over the city through team sports (handball, etc.);women;life together;;2.0;3.0;5;12.4;15.5;;12;4.0;Inclusion;15;5;Inclusion;Culture & Society;Culture & Society;;;1.734475;0.0;2.867257;2.745763;5.25974;1.370968
34;Djevojka ne mora dati novac nekome kako bi dobila posao u Mostaru.;A girl doesn't have to give money to someone to get a job in Mostar;women;life together;5.0;;;5;4.2;20.2;;4;2.0;Corruption;20;2.0;Hiring & employment;Rights & Dignity;Economic Activity & Livelihoods;;;1.734475;4.576271;0.0;0.0;1.257764;1.35
41;Gimnazija Mostar i UWC nisu jedine svijetle točke, koje okupljaju djecu iz čitavog grada.;Mostar Gymnasium and UWC are not the only silver lining that gathers children from all over the town;women;life together;1.0;2.0;2.0;5;19.3;15.5;;19;3.0;School inclusiveness;15;5;Inclusion;Rights & Dignity;Culture & Society;-1.0;1.0;1.734475;0.915254;2.867257;1.830508;2.410714;1.370968
92;Ljudi sa strane (Široki, Podveležje, itd.) ne nameću građanima Mostara svoj način života;People from outside of Mostar (Široki Brijeg, Podveležje, etc.) don't impose their way of life to the city folk of Mostar.;women;life together;3.0;1.0;1.0;5;6.1;;;6;10.0;Us V Them;0;0;0;Culture & Society;0;;;1.734475;2.745763;1.433628;0.915254;0.130561;0.0
128;Mostarci ne odlaze, jer za njih ima posla u gradu.;People of Mostar don't leave because they can find jobs here;women;life together;1.0;;4.0;5;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;1.0;1.0;1.734475;0.915254;0.0;3.661017;0.3;0.0
