#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
43;Bazilika u Cimu je obnovljena.;The basilica of Cim is restored.;men;life together;1.0;4.0;4.0;9;14.4;3.8;;14;4.0;Religious buildings;3;8.0;Condition;Culture & Society;Culture & Society;-3;1;2.716418;0.85446;3.450237;4.067039;1.4625;1.326923
45;Svi u Cimu se vole družiti uz piće.;Everybody in Cim likes to hang out with drinks.;men;life together;3.0;2.0;3.0;8;11.0;6.3;;11;0.0;Socializing;6;3.0;Social Trust;Culture & Society;Culture & Society;1;2;2.414594;2.56338;1.725118;3.050279;0.500344;2.133333
53;Dede i bake iz Cima čuvaju svoju unučad.;Grandpas and grandmas from Cim take care of their grandchildren.;women;life together;3.0;1.0;3.0;7;6.6;;;6;6.0;Inter-generational Relations;0;0;0;Culture & Society;0;2;1;2.112769;2.56338;0.862559;3.050279;0.125641;0.0
54;Djeca treniraju na stadionu u Cimu.;Kids train at the stadium in Cim.;men;life together;1.0;3.0;3.0;7;12.1;12.3;;12;10.0;Facilities;12;3.0;Activities;Culture & Society;Culture & Society;-2;1;2.112769;0.85446;2.587678;3.050279;2.983607;0.803279
55;U Mostaru ima sportska dvorana, u kojoj svi sportski klubovi mogu dobiti termin za trening.;Mostar has a sports hall where all sports clubs can get a timeslot to train;youth;life together;1.0;;6.0;7;12.1;12.3;;12;10.0;Facilities;12;3.0;Activities;Culture & Society;Culture & Society;1;1;2.112769;0.85446;0.0;6.100559;2.983607;0.803279
63;Muškarci iz Cima se druže u kafiću kod Goce.;Men from Cim socialize at Goca's Cafe;men;life together;;2.0;4.0;6;11.1;22.0;;11;10.0;Cafes and Space;22;0;Gender;Culture & Society;Culture & Society;-2;2;1.810945;0.0;1.725118;4.067039;0.375258;1.894737
64;Restorani su nedjeljom puni ljudi.;Restaurants are full of people on Sundays.;women;life together;6.0;;;6;11.1;;;11;10.0;Cafes and Space;0;0;0;Culture & Society;0;6;6;1.810945;5.126761;0.0;0.0;0.375258;0.0
65;Grad Mostar je novcem iz budžeta renovirao igralište u Cimu.;The city of Mostar renovated the playground in Cim with budgeted money.;youth;life together;;6.0;;6;9.8;3.8;;9;8.0;Access to public funds;3;8.0;Condition;Rights & Dignity;Culture & Society;-6;6;1.810945;0.0;5.175355;0.0;2.527778;0.884615
66;Facebook stranica „Žućo“ „proziva“ eko hulje, koje po Mostaru bacaju smeće.;The Facebook page Žućo calls out eco scoundrels who litter in Mostar.;youth;life together;2.0;1.0;3.0;6;6.5;18.2;;6;5.0;Technology;18;2.0;Waste prevention;Culture & Society;Rights & Dignity;1;1;1.810945;1.70892;0.862559;3.050279;0.107692;1.846154
67;Mladi koji dolaze na posao ne očekuju da će zaraditi istu plaću kao netko tko tamo radi 20 godina.;Young people who come to work don't expect to earn the same paycheck as someone who has worked for 20 years.;men;life together;1.0;4.0;1.0;6;20.5;20.3;;20;5.0;Youth employment;20;3.0;Worker's protection and rights;Economic Activity & Livelihoods;Economic Activity & Livelihoods;-3;1;1.810945;0.85446;3.450237;1.01676;0.631944;2.0
