#;Indicator_BHS;Indicator_Eng;Focus_Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
234;Djeca s obje strane grada koja idu na robotiku zajedno se igraju čitav dan;Children from both sides of the city that attend the Robotics course play with each other all day long.;youth;life together;;;2;2;15.5;19.2;;15;5;Inclusion;19;2;Non school based education;Culture & Society;Rights & Dignity;0;2;0.00;0.00;0.00;0.00;0.00;0.00
324;Američki kutak organizuje razne radionice za mlade i s jedne i druge strane;The American corner organizes various workshops for the youth from both sides.;youth;life together;;1;;1;15.5;19.2;;15;5;Inclusion;19;2;Non school based education;Culture & Society;Rights & Dignity;;;0.00;0.00;0.00;0.00;0.00;0.00
202;Momak nije prvi put imao priliku da priča s nekim od učenika koji ide na zapadnu stranu u školu, kada je išao na susrete s Vijećem učenika iz Mostara;It wasn’t the young man's first time to talk to someone that goes to another school on the West side of Mostar, when he went on meetings with the student council.;youth;life together;;1;1;2;15.5;19.4;;15;5;Inclusion;19;4;Student activities;Culture & Society;Rights & Dignity;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
325;Članovi robotike su pobijedili na Olimpijadi;The members of the Robotics course have won the Olympics.;youth;life together;;;1;1;19.2;19.4;;19;2;Non school based education;19;4;Student activities;Rights & Dignity;Rights & Dignity;;;0.00;0.00;0.00;0.00;0.00;0.00
227;Na UWC djeca Bošnjaci, Srbi i Hrvati rade matematiku zajedno da dobiju dobru ocjenu;At United World College, Bosniak, Serbian and Croatian students help each other with mathematics to get good grades.;youth;life together;;;2;2;19.3;19.4;;19;3;School inclusiveness;19;4;Student activities;Rights & Dignity;Rights & Dignity;0;2;0.00;0.00;0.00;0.00;0.00;0.00
311;Mladi ljekari iz Kantonalne bolnice stažiraju na SKB Mostar;Young doctors from the Cantonal hospital are interns in SKB Mostar (University Clinical Hospital of Mostar).;women;life together;;;1;1;10.8;20.1;;10;8;Medical;20;10;Inclusivity;Rights & Dignity;Economic Activity & Livelihoods;0;1;0.00;0.00;0.00;0.00;0.00;0.00
302;Radni raspored ne smanjuje vrijeme za druženje s komšijama;One's work schedule does not shorten the time available for neighbors to socialize with each other.;women;life together;;1;;1;6.12;20.3;;6;12;Neighbor Relations;20;3;Workers protection and rights;Culture & Society;Economic Activity & Livelihoods;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
333;Prodaju se lokalni proizvodi za turiste;Local products are sold to tourists.;men;life together;;1;;1;20.9;20.6;;20;9;Tourism;20;6;Small businesses;Economic Activity & Livelihoods;Economic Activity & Livelihoods;;;0.00;0.00;0.00;0.00;0.00;0.00
222;Sve kompanije u Mostaru slijede primjer MO-Bus-a što se tiče redovnog plaćanja radnika;In Mostar, MO-Bus regularly pays its workers and all companies follow that example.;women;life together;;;2;2;20.3;20.8;;20;3;Workers protection and rights;20;8;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;0;2;0.00;0.00;0.00;0.00;0.00;0.00
314;Nijedna kompanija u Mostaru nema duga prema svojim radnicima;In Mostar, there aren’t any companies that owe payments to their workers.;women;life together;;1;;1;20.3;20.8;;20;3;Workers protection and rights;20;8;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;;;0.00;0.00;0.00;0.00;0.00;0.00
154;Postojeća igrališta nisu pretvorena u parkinge;Existing playgrounds are not used as parking lots.;men;life together;;;3;3;3.1;21.1;;3;10;Open spaces;21;10;Parking;Culture & Society;Culture & Society;0;3;0.00;0.00;0.00;0.00;0.00;0.00
90;Problem huligana je riješen po uzoru na Englesku novčanim kaznama.;The problem of hooligans is solved following England's model with fines.;men;life together;5;;;5;4.1;;;4;10;Sport & Hooliganism;0;0;0;Rights & Dignity;0.00;5;5;0.00;0.00;0.00;0.00;0.00;0.00
223;Mladi navijači se ne dogovaraju da se tuku;Young football fans don’t arrange when they’re going to fight.;women;life together;1;;1;2;4.1;;;4;10;Sport & Hooliganism;0;0;0;Rights & Dignity;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
58;Policija čuva javni red i mir;Public order and peace are being secured by the police.;men;life together;2;2;3;7;5;;;5;0;Police;0;0;0;Armed Actors;0.00;0;2;0.00;0.00;0.00;0.00;0.00;0.00
157;U svakom naselju postoji dežurni policajac pozornik;There is an on duty police officer in every community.;men;life together;1;2;;3;5.3;;;5;3;Interactions;0;0;0;Armed Actors;0.00;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
334;Stanovnici na Bulevaru pozivaju policiju po potrebi;When needed, the tenants in Bulevar call the police.;men;life together;1;;;1;5.3;;;5;3;Interactions;0;0;0;Armed Actors;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
319;Postoje sociološka istraživanja o ponašanju našeg naroda.;There exists socialogical research regarding the behavior of our people (from Bosnia and Herzegovina).;women;life together;;1;;1;6;;;6;0;Social Relations;0;0;0;Culture & Society;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
115;Svi ljudi pomažu svojim komšijama u obavljanju svkodnevnih obveza;All people help their neighbors in carrying out their daily duties.;verifi.;life together;;3;1;4;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0.00;-3;1;0.00;0.00;0.00;0.00;0.00;0.00
148;Komšije se lijepo pozdravljaju kada se sretnu na ulici;Neighbors nicely greet each other when they meet on the street.;men;life together;;1;2;3;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0.00;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
292;Komšija je čovjeku iz Cernice 2012. pomogao da spasi kuću od požara;In 2012, a neighbor from Cernica helped a man to save his house from a fire.;men;life together;;1;;1;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0.00;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
298;Ljudi u zgradi svi priskoče u pomoć kada neko umre;The people in the building all come to help when someone dies;men;life together;1;;;1;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
45;Ljudi u Mostaru se nisu otuđili jedni od drugih;People in Mostar have not become alienated from each other;men;life together;1;2;5;8;6.3;;;6;3;Social Trust;0;0;0;Culture & Society;0.00;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
332;Nije potrebno da starije generacije izumru da se prestane pričati o ratu;It isn't necessary that older generations die off in order for us to stop talking about the war.;women;life together;;1;;1;7;;;7;0;Legacies of War;0;0;0;Dealing with the Past;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
150;U Cernici postoji obilježje poginulim borcima;There is a monument for the fallen soldiers in Cernica.;men;life together;2;1;;3;7.1;;;7;10;Memorialization;0;0;0;Dealing with the Past;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
122;Objekti na bivšoj liniji razdvajanja su obnovljeni;The objects (buildings) on the former separation line have been renovated;men;life together;2;1;1;4;7.7;;;7;7;Infrastructure;0;0;0;Dealing with the Past;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
212;Objekat na Bulevaru porušen u ratu (Jagnje, Čorba, Petica) je obnovljen;The buildings on Bulevar that were demolished in the war (“Jagnje”, “Čorba”, “Petica”) are reconstructed.;men;life together;;2;;2;7.7;;;7;7;Infrastructure;0;0;0;Dealing with the Past;0.00;-2;2;0.00;0.00;0.00;0.00;0.00;0.00
2;U Mostaru ne postoje zastave Herceg-Bosne.;There are no Herceg-Bosna flags in Mostar.;verifi.;life together;8;11;18;37;8.5;;;8;5;Political Symbols;0;0;0;Culture & Society;0.00;-3;8;0.00;0.00;0.00;0.00;0.00;0.00
328;Na istočnoj strani nema zastava s ljiljanima;There aren’t any flags with lilies on the East side.;youth;life together;;;1;1;8.5;;;8;5;Political Symbols;0;0;0;Culture & Society;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
124;Komunalna policija radi svoj posao.;The communal police does their job.;men;life together;1;1;2;4;9;;;9;0;Governance;0;0;0;Rights & Dignity;0.00;0;1;0.00;0.00;0.00;0.00;0.00;0.00
216;Postoji dovoljno komunalnih policajaca;There are enough communal police officers.;men;life together;1;;1;2;9;;;9;0;Governance;0;0;0;Rights & Dignity;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
219;Ljudi mijenjaju društvenu situaciju svojim glasovima na izborima;People change the social situation with their votes on elections.;women;life together;1;;1;2;9.3;;;9;3;Political functionality;0;0;0;Rights & Dignity;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
326;Izviđači organizuju druženja i za mlade i za starije.;The scouts organize social events for the youth and the elderly.;women;life together;;1;;1;9.7;;;9;7;Citizens' associations;0;0;0;Rights & Dignity;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
294;Ljudi na Bulevaru imaju mjesto okupljanja i druženja (kafić/fronta);"People in Bulevar have a place to gather and socialize (a café/ “fronta"")";men;life together;1;;;1;11.1;;fronta' is a type of prewar cafe in the MZ that is frequented only by men;11;10;Cafes and Space;0;0;0;Culture & Society;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
163;Novinari ne prenose pogrešno izjave građana;Journalists don’t spread false statements made by citizens.;men;life together;;2;1;3;13.1;;;13;10;Traditional;0;0;0;Culture & Society;0.00;-2;1;0.00;0.00;0.00;0.00;0.00;0.00
306;Postoje vjerske institucije sve tri religije u blizini;There exist faith-based institutions for all three religions close to one another.;men;life together;1;;;1;14.4;;;14;4;Religious buildings;0;0;0;Culture & Society;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
24;Na Bulevaru i Cernici ceste nisu pune rupa;There roads are not full of holes in Bulevar and Cernica.;women;life together;4;4;3;11;17.1;;;17;10;Roads;0;0;0;Economic Activity & Livelihoods;0.00;0;3;0.00;0.00;0.00;0.00;0.00;0.00
23;Asfalt u Cernici je kvalitetno postavljen i ne stvara se buka od šahtova koji se pomiču;The asphalt in Cernica is well laid and there is no noise from loose manhole covers.;men;life together;5;3;3;11;17.1;;;17;10;Roads;0;0;0;Economic Activity & Livelihoods;0.00;2;3;0.00;0.00;0.00;0.00;0.00;0.00
1;Postavljena fasada na zgradi BNR 35;The facade of building BNR 35 is installed.;verifi.;life together;27;43;6;76;17.4;;this is the only building that was not destroyed during the war because women put out fires that started in it. But it is also the only building whose facade is not reconstructed;17;4;Buildings;0;0;0;Economic Activity & Livelihoods;0.00;-16;6;0.00;0.00;0.00;0.00;0.00;0.00
37;Učenici Bošnjaci i Hrvati idu zajedno u jedan razred;Bosnian and Croatian students go together to the same class.;youth;life together;4;2;3;9;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;2;2;0.00;0.00;0.00;0.00;0.00;0.00
161;Učenici Bošnjaci i Hrvati iz Mostara idu zajedno na maturu;Bosnian and Croatian students go together to a graduation ceremony in Mostar.;youth;life together;;;3;3;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;0;3;0.00;0.00;0.00;0.00;0.00;0.00
160;Razredi u školi nisu podijeljeni na hrvatski i bosanski nastavni plan i program;Classes in school are not divided by Croatian and Bosnian curricula.;youth;life together;2;;1;3;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;2;1;0.00;0.00;0.00;0.00;0.00;0.00
162;Na časove informatike u Gimnaziji idu zajedno učenici i s jednog i s drugog programa;Students from both curricula go to computer science classes at the Gymnasium together;youth;life together;2;;1;3;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;2;1;0.00;0.00;0.00;0.00;0.00;0.00
225;U Mostaru postoji samo po jedna od svake srednje škole;There is only one of each type of high school in Mostar.;youth;life together;1;;1;2;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;1;1;0.00;0.00;0.00;0.00;0.00;0.00
289;UWC (Koledž ujedinjenog svijeta) je primjer kakva bi škola morala biti, jer na njega zajedno idu djeca i Srbi, i Hrvati i Bošnjaci;UWC (United World College) is an example of how a school should be, because there, Serbian, Croatian and Bosnian children are together.;youth;life together;;;1;1;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;0;1;0.00;0.00;0.00;0.00;0.00;0.00
316;Sve srednje škole u Mostaru imaju jedinstveni nastavni plan i program;All high schools in Mostar have a single cuririculum.;youth;life together;1;;;1;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
229;Učenicima koji se tuku u školama smanjuje se vladanje;Students who fight in schools get marked down for misbehaviour;youth;life together;;2;;2;19.6;;;19;6;School behavior;0;0;0;Rights & Dignity;0.00;-2;2;0.00;0.00;0.00;0.00;0.00;0.00
230;Učenici koji se tuku u školama izbacuju se iz škola;Students that start fighting in school are expelled.;women;life together;;;2;2;19.6;;;19;6;School behavior;0;0;0;Rights & Dignity;0.00;0;2;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
;;;;;;;;;;;;0;0;0;0;0;0;0.00;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
