#;Indikator_BHS;Indicator_Eng;Focus_Group;Concept;F;M;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
43;Ljudi koji ne poštuju zakone se kažnjavaju.;People who don't obey the law get punished.;men;life together;7;1;3;11;9.3;4;;9;3;Political functionality;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;6;1;2.12;4.57;0.91;1.18;1.68;1.74
44;Gradske vlasti rade na spajanju ljudi.;City officials work on bringing people together.;men;life together;3;5;3;11;9.5;1;;9;5;Political coexistence;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;-2;3;2.12;1.96;4.55;1.18;1.68;1.55
45;Rješavanje problema u Mostaru ne ide sporo.;The solving of problems in Mostar doesn't go slowly.;men;life together;2;4;5;11;9.3;;;9;3;Political functionality;0;0;0;Rights & Dignity;0.00;-2;2;2.12;1.31;3.64;1.96;1.68;0.00
46;Građani su glavni razlog zašto u Mostaru postoji problem smeća, a ne vlast, jer ljudi bacaju smeće.;The citizens are the main reason why there is an issue with the trash in Mostar, not the government, because people are the ones who litter. ;women;life together;3;2;6;11;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;1;2;2.12;1.96;1.82;2.35;1.46;1.31
53;U Zaliku ima više kafića za mlade;In Zalik there are a lot of cafes for youth.;women;life together;1;;9;10;15;11.1;;15;0;Youth;11;10;Cafes and Space;Culture & Society;Culture & Society;1;1;1.93;0.65;0.00;3.53;1.71;1.52
54;Ljudi ne moraju ići u privatne ordinacije da se liječe.;People don't have to go to private clinics to get treated.;men;life together;5;1;4;10;10.8;4.2;;10;8;Medical;4;2;Corruption;Rights & Dignity;Rights & Dignity;4;1;1.93;3.26;0.91;1.57;1.42;1.58
55;Ljudi koji dođu i posjete “Zipline” na Fortici ne ostavljaju smeće od ručka tu gdje su jeli.;People who come and visit the Zipline at Fortica don't leave trash from their lunch around where they ate.;women;life together;;3;7;10;18.2;3.5;;18;2;Waste prevention;3;5;Use of outdoors;Rights & Dignity;Culture & Society;-3;3;1.93;0.00;2.73;2.75;1.32;1.19
63;Više od 50 osoba učestvuje u organizovanim akcijama čišćenja komšiluka ;More than 50 people participate in the organized cleaning event in the neighborhood.;youth;life together;5;1;3;9;6.4;18.3;;6;4;Activism;18;3;Environmental Restoration;Culture & Society;Rights & Dignity;4;1;1.74;3.26;0.91;1.18;1.49;1.19
64;Svaki kafić u Zaliku ima svoju raju.;"Every cafe in Zalik has its own ""raja"" (local term used to describe a small social group of people) ";men;life together;3;2;4;9;11.1;6;;11;10;Cafes and Space;6;0;Social Relations;Culture & Society;Culture & Society;1;2;1.74;1.96;1.82;1.57;1.37;1.49
65;U Zaliku postoji udruženje koje pokreće druge inicijative, osim čišćenja.;There is an association in Zalik that initiates events other than cleaning ones.;women;life together;6;1;2;9;9.7;3.7;;9;7;Citizens' associations;3;7;Activities;Rights & Dignity;Culture & Society;5;1;1.74;3.92;0.91;0.78;1.38;1.08
66;Mame u Zaliku se druže.;The mothers in Zalik hang out.;women;life together;3;4;2;9;11.4;22;;11;4;Informal;22;0;Gender;Culture & Society;Culture & Society;-1;2;1.74;1.96;3.64;0.78;1.37;1.50
67;U Zaliku ima dovoljno mjesta za parking.;In Zalik there are enough parking places.;women;life together;2;3;4;9;21.1;;;21;10;Parking;0;0;0;Culture & Society;0.00;-1;2;1.74;1.31;2.73;1.57;1.33;0.00
68;Ljudi mogu promijeniti stvari u Mostaru glasanjem na izborima.;People can change things in Mostar by voting during the election period.;men;life together;4;1;4;9;9.3;;;9;3;Political functionality;0;0;0;Rights & Dignity;0.00;3;1;1.74;2.61;0.91;1.57;1.38;0.00
75;U Bolnicama se ne pravi razlika između pacijenata različitih vjera.;In hospitals, no differences are made between patients of different religions.;women;life together;2;1;5;8;10.8;6.9;;10;8;Medical;6;9;Ethno-religious identity;Rights & Dignity;Culture & Society;1;1;1.54;1.31;0.91;1.96;1.14;1.33
76;Učenici se odlučuju da idu na zanatski smjer u Građevinskoj, na kojem dobijaju stipendiju od 250 KM mjesečno.;Students decide to attend the Crafts department at the Civil Engineering High School in Mostar, in which they are given a monthly stipend of 250KM.;women;life together;3;1;4;8;19.1;15.4;;19;10;Vocational Schools;15;4;Livelihoods;Rights & Dignity;Culture & Society;2;1;1.54;1.96;0.91;1.57;1.73;1.37
77;Škola u Zaliku uči djecu da poštuju druge i drugačije.;The school in Zalik teaches kids to respect others and their differences.;women;life together;1;3;4;8;19.3;1.1;;19;3;School inclusiveness;1;10;Personal value;Rights & Dignity;Culture & Society;-2;1;1.54;0.65;2.73;1.57;1.73;1.13
78;Mladi sa istočne strane izlaze u Ice;Young people from the east side go to the Ice Bar.;men;life together;;5;3;8;11.1;2.3;;11;10;Cafes and Space;2;3;Movement;Culture & Society;Security;-5;3;1.54;0.00;4.55;1.18;1.22;1.49
79;Mladi sa istočne strane jedu kolače u Aldiju;Young people from the east side eat cakes at Aldi.;youth;life together;;;8;8;11.1;2.3;;11;10;Cafes and Space;2;3;Movement;Culture & Society;Security;0;8;1.54;0.00;0.00;3.14;1.22;1.49
89;Djeca se u Zaliku igraju na ulici.;Kids in Zalik play on the streets.;youth;life together;3;2;2;7;3.1;15;;3;10;Open spaces;15;0;Youth;Culture & Society;Culture & Society;1;2;1.35;1.96;1.82;0.78;0.84;1.20
90;Dječak sa istočne strane trenira na zapadnoj strani;A boy from the east side trains on the west side.;women;life together;;6;1;7;15.5;12;;15;5;Inclusion;12;0;Sport;Culture & Society;Culture & Society;-6;1;1.35;0.00;5.46;0.39;1.20;0.70
91;Roditelji ne prepuštaju djecu društvenim mrežama.;Parents do not leave their children to be raised by social networks.;youth;life together;5;1;1;7;15.6;6.5;;15;6;Parenting;6;5;Technology;Culture & Society;Culture & Society;4;1;1.35;3.26;0.91;0.39;1.20;1.16
92;U Zalik dolaze i osobe koje ne žive u Zaliku.;People who don't live in Zalik also come to Zalik.;women;life together;;5;2;7;2.3;6.3;;2;3;Movement;6;3;Social Trust;Security;Culture & Society;-5;2;1.35;0.00;4.55;0.78;1.31;1.16
93;Žena želi očistiti svoju ulicu, jer ona tu živi.;A woman wants to clean up her street because she lives there.;women;life together;;5;2;7;18.3;22;;18;3;Environmental Restoration;22;0;Gender;Rights & Dignity;Culture & Society;-5;2;1.35;0.00;4.55;0.78;0.93;1.17
94;Ljudi iz Gornjeg Zalika ne iznose svoje smeće noć prije, kako ga vjetar ne bi raznio posvuda.;People who live in Gornji Zalik (Upper Zalik) don't leave their trash outside the night before, so the wind doesn't blow it away.;women;life together;6;;1;7;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;6;1;1.35;3.92;0.00;0.39;0.93;0.84
95;Žene se ne boje kretati po Zaliku kad je mrak, jer ima rasvjete.;Women aren't afraid to walk late at night in Zalik because there are street lights.;women;life together;1;2;4;7;17.3;22.3;;17;3;Public Lighting;22;3;Safety and comfort;Economic Activity & Livelihoods;Culture & Society;-1;1;1.35;0.65;1.82;1.57;0.76;1.17
110;Kada se nečiji pas izgubi, komšiluk dojavljuje gdje ga je vidio kako bi se što prije pronašao;When someone's dog gets lost, the whole neighborhood notifies where they saw it, so it gets found as soon as possible.;youth;life together;;1;5;6;6.12;10.7;;6;12;Neighbor Relations;10;7;Animals;Culture & Society;Rights & Dignity;-1;1;1.16;0.00;0.91;1.96;1.00;0.85
111;Nemamo nikakvih problema sa prijateljima sa druge strane.;We don't have any issues with friends from the other side of the city.;youth;life together;3;;3;6;6.2;6.9;;6;2;Personal Relationships;6;9;Ethno-religious identity;Culture & Society;Culture & Society;3;3;1.16;1.96;0.00;1.18;1.00;1.00
112;Ljudi nisu navikli na loše uslove života. (loša infrastruktura);People aren't used to poor living conditions. (bad infrastructure);youth;life together;5;1;;6;17;;;17;0;Infrastructure;0;0;0;Economic Activity & Livelihoods;0.00;4;1;1.16;3.26;0.91;0.00;0.65;0.00
113;Svi stanari u Zaliku plaćaju za čišćenje zgrade.;All tenants in Zalik pay for the buildings to get cleaned;men;life together;3;3;;6;3.9;6.12;;3;9;Public Ownership;6;12;Neighbor Relations;Culture & Society;Culture & Society;0;3;1.16;1.96;2.73;0.00;0.72;1.00
114;Kad odeš na kafu sa drugaricama, nisu svi oko tebe na telefonima, nego su razgovaraju.;When you go for coffee with your friends, people around you aren't on their phones, but are talking to each other.;women;life together;2;2;2;6;11.1;6.5;;11;10;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;0;2;1.16;1.31;1.82;0.78;0.91;1.00
115;Nije se sve ugasilo u Zaliku, jer se zatvorio kafić Špago.;"Not everything ""turned off"" in Zalik because the cafe Špago closed.";men;life together;2;3;1;6;11.1;;;11;10;Cafes and Space;0;0;0;Culture & Society;0.00;-1;1;1.16;1.31;2.73;0.39;0.91;0.00
116;Postoji neka novčana pomoć kroz donacije da se napravi centar za mlade u Zaliku.;There exists some financial help through donations to assist in building a youth center in Zalik.;men;life together;3;2;1;6;9.8;15.2;;9;8;Access to public funds;15;2;Infrastructure;Rights & Dignity;Culture & Society;1;1;1.16;1.96;1.82;0.39;0.92;1.02
117;Bolnica Južni logor ima odlične stručnjake.;"Cantonal Hospital ""Dr. Safet Mujić"" has amazing experts.";men;life together;2;1;3;6;10.8;;;10;8;Medical;0;0;0;Rights & Dignity;0.00;1;1;1.16;1.31;0.91;1.18;0.85;0.00
118;Čovjeku na izborima nije dozvoljeno da krade glasove posmatračima ispred očiju.;A person is not allowed to steal votes during elections in front of the observer's eyes.;men;life together;;;6;6;9.3;4.2;;9;3;Political functionality;4;2;Corruption;Rights & Dignity;Rights & Dignity;0;6;1.16;0.00;0.00;2.35;0.92;0.95
119;Dječak koji trenira na zapadnoj strani sreće svoje drugare s treninga i na istočnoj strani;A boy who trains on the west side meets his friends who train with him on the east side too.;women;life together;4;2;;6;2.3;15.5;;2;3;Movement;15;5;Inclusion;Security;Culture & Society;2;2;1.16;2.61;1.82;0.00;1.12;1.02
120;Mladi sa istočne strane izlaze u Cube;The young people from the east side go to the club, Golden Cube.;youth;life together;;2;4;6;11.1;2.3;;11;10;Cafes and Space;2;3;Movement;Culture & Society;Security;-2;2;1.16;0.00;1.82;1.57;0.91;1.12
121;U Zaliku, stanovnici zajedno učestvuju u svim akcijama.;In Zalik, citizens participate together in all actions/activities.;youth;life together;4;;2;6;6.4;3.9;;6;4;Activism;3;9;Public Ownership;Culture & Society;Culture & Society;4;2;1.16;2.61;0.00;0.78;1.00;0.72
