#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
87;Ljudi na birou za zapošljavanje ne čekaju 30 godina zaposlenje;People, registered at the recruitment service, don't wait 30 years for employment;youth;life together;0;4;2;6;20.2;;;20;2;Hiring & Employment;0;0;0;Economic Activity & Livelihoods;0.00;-4;0;0.00;0.00;0.00;0.00;0.00;0.00
167;Otvaraju se fabrike u Mostaru, u kojima rade i Hrvati, i Srbi i Bošnjaci.;Factories are being opened in Mostar in which Croats, Serbs and Bosniaks work together;women;life together;1;4;0;5;20.1;1;;20;10;Inclusivity;1;0;Integration and Acceptance;Economic Activity & Livelihoods;Culture & Society;-3;0;0.00;0.00;0.00;0.00;0.00;0.00
274;U Mostaru se djeca kući odgajaju za suživot.;The children are being raised to live in coexistence in Mostar;men;life together;2;1;2;5;19.5;15.5;;19;5;Family-based education;15;5;Inclusion;Rights & Dignity;Culture & Society;1;1;0.00;0.00;0.00;0.00;0.00;0.00
41;Gimnazija Mostar i UWC nisu jedine svijetle točke, koje okupljaju djecu iz čitavog grada.;Mostar Gymnasium and UWC are not the only silver lining that gathers children from all over the town;women;life together;2;1;2;5;19.3;15.5;;19;3;School inclusiveness;15;5;Inclusion;Rights & Dignity;Culture & Society;1;1;0.00;0.00;0.00;0.00;0.00;0.00
293;U školama se djeca uče da upoznaju djecu s druge strane Mostara.;In schools, children are taught to meet children on the other side of Mostar.;women;life together;2;0;2;4;19.3;6.1;;19;3;School inclusiveness;6;10;Us V Them;Rights & Dignity;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
219;Škole u Mostaru nisu jednonacionalne.;Schools in Mostar are not ethnically homogeneous;men;life together;2;3;2;7;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;-1;2;0.00;0.00;0.00;0.00;0.00;0.00
294;U školama u Mostaru su isti nastavni planovi i programi.;Each school in Mostar has the same curriculum;men;life together;1;2;0;3;19.3;;;19;3;School inclusiveness;0;0;0;Rights & Dignity;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
22;Centar za tehničku kulturu, gdje ima radionica robotike i maketarstva, je jedan od pokretača suživota u Mostaru;One of the promoters of coexistence in Mostar is the technical center with their robotics and model making workshops;youth;life together;0;0;1;1;19.2;1;;19;2;Non school based education;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
292;U školama ima školski liječnik i psiholog;There is a school doctor and psychologist in schools.;youth;life together;1;3;4;8;19;10.8;;19;0;Education;10;8;Medical;Rights & Dignity;Rights & Dignity;;;0.00;0.00;0.00;0.00;0.00;0.00
288;U Podhumu se organizuju akcije da se očisti Radobolja.;In Podhum, there are organized cleaning events around Radobolja;men;life together;0;1;0;1;18.3;6.4;;18;3;Environmental Restoration;6;4;Activism;Rights & Dignity;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
217;S obitelji i prijateljima čistimo oko kuće uz Radobolju (plastične kese i drugi otpad);We clean the area around the house near Radobolja with our friends and family (plastic bags and waste);youth;life together;0;2;2;4;18.3;3.9;;18;3;Environmental Restoration;3;9;Public Ownership;Rights & Dignity;Culture & Society;-2;0;0.00;0.00;0.00;0.00;0.00;0.00
218;"Samo kažemo ""čistit ćemo"" i ljudi se odazovu i posvete 1 h vremena tome";We just say “we will clean” and people respond and dedicate 1 h of time to it;youth;life together;0;2;2;4;18.3;3.9;;18;3;Environmental Restoration;3;9;Public Ownership;Rights & Dignity;Culture & Society;-2;0;0.00;0.00;0.00;0.00;0.00;0.00
88;Ljudi ne bacaju smeće u rijeku.;People don't throw waste in the river.;youth;life together;2;2;4;8;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;0;2;0.00;0.00;0.00;0.00;0.00;0.00
45;Građani ne bacaju smeće sa balkona u Franjevačkoj.;The tenants don't throw garbage from their balconies in Franjevačka street;women;life together;0;0;4;4;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
222;Stanari ne ostave kesu smeća ispred svojih vrata ili pored lifta i čekaju da neko drugi njihovo smeće iznese u kontejner;Tenants do not leave a garbage bag in front of their door or next to the elevator and wait for someone else to take their garbage to the container;youth;life together;0;1;1;2;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
321;Želimo da recikliram;We want to recycle;youth;life together;0;0;2;2;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
107;Ljudi u Podhumu ne bacaju smeće na vrh zgrade;In Podhum, people don't throw garbage at the top of the building;youth;life together;0;1;0;1;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;-1;0;0.00;0.00;0.00;0.00;0.00;0.00
298;"U torbu koja se suši na balkonu ne upadne prazan tetrapak kojeg je neko bacio s drugog prozora.
";A milk carton does not end up in the bag drying on the balcony, when someone tosses it from the other window;youth;life together;0;0;1;1;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
308;Veš koji sušimo na balkonu nema zaljepljen omot od čokolade koji je bačen s nekog prozora;The laundry we dry on the balcony does not have a glued chocolate wrapper thrown from a window;youth;life together;0;1;0;1;18.2;3.9;;18;2;Waste prevention;3;9;Public Ownership;Rights & Dignity;Culture & Society;;;0.00;0.00;0.00;0.00;0.00;0.00
152;Nema otpada na Rondu;There is no garbage at Rondo;youth;life together;1;1;0;2;18.2;3.1;;18;2;Waste prevention;3;10;Open spaces;Rights & Dignity;Culture & Society;0;0;0.00;0.00;0.00;0.00;0.00;0.00
38;"Drveće oko Radobolje nije ""okićeno"" plastičnim kesama";"The trees around the Radobolja [river] aren't ""decorated"" with plastic bags";youth;life together;3;4;1;8;18.2;;;18;2;Waste prevention;0;0;0;Rights & Dignity;0.00;-1;1;0.00;0.00;0.00;0.00;0.00;0.00
313;Vjetar ne raznosi smeće po gradu;The wind does not disperse junk all over the town;youth;life together;1;4;2;7;18.2;;;18;2;Waste prevention;0;0;0;Rights & Dignity;0.00;;;0.00;0.00;0.00;0.00;0.00;0.00
126;Mostar nije zatrpan smećem iako postoje 4 komunalna preduzeća.;Mostar is not drowning in garbage even though there are four waste collection companies;men;life together;2;1;3;6;18.1;10.7;;18;10;Waste management services;10;7;Animals;Rights & Dignity;Rights & Dignity;1;1;0.00;0.00;0.00;0.00;0.00;0.00
53;Imamo mjesto i sistem za recikliranje;There is a recycling place and system;youth;life together;0;2;4;6;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;-2;0;0.00;0.00;0.00;0.00;0.00;0.00
75;Kontejneri i ulice se čiste u 5 ujutro, a ne u podne kao kod nas u Podhumu;The streets and garbage cans are cleaned at 5 AM and not at noon like it is in Podhum;youth;life together;0;2;0;2;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;-2;0;0.00;0.00;0.00;0.00;0.00;0.00
