#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
244;Turisti se šetaju kroz Podhum;Tourists walk through Podhum;women;peace;0;2;0;2;2.3;20.9;;2;3;Movement;20;9;Tourism;Security;Economic Activity & Livelihoods;-2;0;0.826086957;0;2.124223602;0;0.666666667;0.6
249;U gradu imaju nova mjesta (kafići za mlade, knjižara, mulimedijalni centar);There are new places in the city (coffee shops for the youth, book shops, multimedia centers);youth;peace;1;0;0;1;3;11;;3;0;Public space;11;0;Socializing;Culture & Society;Culture & Society;1;0;0.413043478;1.838709677;0;0;0.454545455;0.44
142;Na šetalište i Španski trg izlazi više djece i starijih osoba;More children and elderly go out to the promenade and Spanish square;youth;peace;2;0;1;3;3.1;11;;3;10;Open spaces;11;0;Socializing;Culture & Society;Culture & Society;2;0;1.239130435;3.677419355;0;1.06875;1.363636364;1.32
168;Park u ulici fra Ambre Miletića je siguran, jer u njemu nema narkomana;The park in Fra Ambro Miletić street is safe, because there aren't any drug addicts.;women;peace;0;2;1;3;3.1;16.1;;3;10;Open spaces;16;10;Prevention;Culture & Society;Rights & Dignity;-2;0;1.239130435;0;2.124223602;1.06875;1.363636364;1.105263158
282;U parkovima iza zgrada u Podhumu se ne skupljaju narkomani.;In the parks behind the buildings in Podhum, drug addicts do not gather.;men;peace;1;1;1;3;3.1;16.4;;3;10;Open spaces;16;4;Usage;Culture & Society;Rights & Dignity;0;1;1.239130435;1.838709677;1.062111801;1.06875;1.363636364;1.105263158
145;Na ulicama Podhuma nema odbačenih narkomanskih šprica;There are no discarded drug syringes on the streets of Podhum;women;peace;1;1;0;2;3.1;16.4;;3;10;Open spaces;16;4;Usage;Culture & Society;Rights & Dignity;0;0;0.826086957;1.838709677;1.062111801;0;0.909090909;0.736842105
170;Parkovi između zgrada u Podhumu nisu pretvoreni u parking.;Parks between the buildings in Podhum are not turned into parking lots;men;peace;2;0;0;2;3.1;21.1;;3;10;Open spaces;21;10;Parking;Culture & Society;Culture & Society;2;0;0.826086957;3.677419355;0;0;0.909090909;0.8
187;Postoje ljetni i zimski kampovi;There are summer and winter camps;youth;peace;1;1;1;3;3.5;3.7;;3;5;Use of outdoors;3;7;Activities;Culture & Society;Culture & Society;0;1;1.239130435;1.838709677;1.062111801;1.06875;1.363636364;1.363636364
189;Postoje organizovani izleti na rijeke;There are organized excursions to the rivers (e.g. organized by scouts and mountaineering associations);youth;peace;1;0;0;1;3.5;9.7;;3;5;Use of outdoors;9;7;Citizens' associations;Culture & Society;Rights & Dignity;1;0;0.413043478;1.838709677;0;0;0.454545455;0.37037037
188;Postoje organizovani izleti na planinu;There are organized excursions to the local mountain;youth;peace;1;2;0;3;3.5;12.3;;3;5;Use of outdoors;12;3;Activities;Culture & Society;Culture & Society;-1;0;1.239130435;1.838709677;2.124223602;0;1.363636364;0.931034483
