#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
38;Na putu prema Blagaju, postoji rasvjeta;The road to Blagaj is illuminated.;youth;peace;2.0;2.0;4.0;8;17.3;17.1;;17;3.0;Public Lighting;17;10.0;Roads;Economic Activity & Livelihoods;Economic Activity & Livelihoods;;;2.112116;1.512953;1.489796;3.560976;1.908497;1.882353
44;Mostar nije podijeljen na nacionalne strane;Mostar is not divided by national sides.;youth;peace;4.0;2.0;1.0;7;2.3;3.4;;2;3.0;Movement;3;4.0;Integration;Security;Culture & Society;2.0;1.0;1.848101;3.025907;1.489796;0.890244;0.985535;1.4
45;U Blagaju ima mladi koji mogu da stvore normalnu zajednicu;There are young people in Blagaj who can help create a normal community.;youth;peace;3.0;2.0;2.0;7;15.1;;;15;10.0;Engagement;0;0;0;Culture & Society;0;1.0;2.0;1.848101;2.26943;1.489796;1.780488;1.252451;0.0
46;Mediji ne favoriziraju jednu stranu kad su pitanju ratnohuškačke vijesti;When it comes to war-mongering news, the media does not prefer one side over the other.;women;peace;4.0;3.0;;7;13.0;;;13;0.0;Media;0;0;0;Culture & Society;0;;;1.848101;3.025907;2.234694;0.0;28.388889;0.0
50;Ne ističu se zastave Herceg – Bosne pod kojim je moj otac odveden u logor;"There are no visible flags of Herceg-Bosnia in Blagaj; these flags were used when taking men from Blagaj in detention camps.";men;peace;1.0;3.0;2.0;6;7.1;8.5;;7;10.0;Memorialization;8;5;Political Symbols;Dealing with the Past;Culture & Society;;;1.584087;0.756477;2.234694;1.780488;1.567084;1.043478
51;Mir je suživot s drugim nacijama.;Coexistence with other ethnic groups is the definition of peace.;men;peace;2.0;2.0;2.0;6;1.0;6.9;;1;0.0;Integration and Acceptance;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;;;1.584087;1.512953;1.489796;1.780488;0.292977;2.081633
52;U Blagaju ima prostor gdje se ljudi mogu sastati i pričati o novinama u zajednici;There is a place in Blagaj where people can meet and discuss community matters.;women;peace;;5.0;1.0;6;3.0;6.11;;3;0.0;Public space;6;11.0;Cooperation & Coexistence;Culture & Society;Culture & Society;-5.0;1.0;1.584087;0.0;3.72449;0.890244;0.893878;2.081633
53;U Blagaju postoji park za djecu;There is a children's park in Blagaj;youth;peace;1.0;5.0;;6;3.1;15.2;;3;10.0;Open Spaces;15;2.0;Infrastructure;Culture & Society;Culture & Society;;;1.584087;0.756477;3.72449;0.0;0.893878;2.125
54;Na Kuli herceg Stjepana Kosače postoji zipline;There is a zipline at Herceg Stjepan Kosaca Fort.;youth;peace;4.0;1.0;1.0;6;12.1;3.7;;12;10.0;Facilities;3;7.0;Activities;Culture & Society;Culture & Society;;;1.584087;3.025907;0.744898;0.890244;3.052265;1.2
60;Ja imam slobodu govora ovdje i negdje drugo;I have freedom of speech both here and elsewhere.;youth;peace;4.0;;1.0;5;2.2;6.8;;2;2.0;Confidence;6;8.0;Language;Security;Culture & Society;;;1.320072;3.025907;0.0;0.890244;0.703954;1.734694
61;Nema smeća na kupalištu Bunica (kupalište se održava);There is no trash at Bunica beach (the swimming place is maintained);youth;peace;;2.0;3.0;5;18.1;3.8;;18;10.0;Waste management Services;3;8.0;Condition;Rights & Dignity;Culture & Society;;;1.320072;0.0;1.489796;2.670732;0.608333;1.0
62;Postoje prave spalionice za otpad;There are real incinerators for waste;youth;peace;1.0;1.0;3.0;5;18.1;;;18;10.0;Waste management Services;0;0;0;Rights & Dignity;0;;;1.320072;0.756477;0.744898;2.670732;0.608333;0.0
63;Čovjek može otići u ambulantu ako mu je potrebno;A person can go to the health clinic when needed.;men;peace;2.0;;3.0;5;23.2;;;23;2.0;0;0;0;0;Rights & Dignity;0;2.0;2.0;1.320072;1.512953;0.0;2.670732;12.166667;0.0
64;U Blagaju postoje saobraćanji znakovi;There are traffic signs in Blagaj.;verification;peace;3.0;1.0;1.0;5;21.2;17.1;;21;2.0;Traffic;17;10.0;Roads;Culture & Society;Economic Activity & Livelihoods;2.0;1.0;1.320072;2.26943;0.744898;0.890244;60.833333;1.176471
68;Nikad nisam imala nijedan sukob sa drugaricama različitih vjera;I've never had even one disagreement with friends of different religions.;youth;peace;1.0;1.0;2.0;4;1.1;6.9;;1;10.0;Personal value;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;;;1.056058;0.756477;0.744898;1.780488;0.195318;1.387755
69;U Blagaju ima mladih koji imaju ambicije i ciljeve;There are young people in Blagaj with ambitions and goals.;youth;peace;2.0;;2.0;4;15.1;;;15;10.0;Engagement;0;0;0;Culture & Society;0;;;1.056058;1.512953;0.0;1.780488;0.715686;0.0
70;U ljetnom periodu, ljudi koji nisu iz Blagaja ali koji posjećuju Blagaj ne ostavljaju otpad iza sebe;In the summer period, people who are not from Blagaj but who visit Blagaj don't leave trash after themselves.;youth;peace;1.0;2.0;1.0;4;18.2;3.8;;18;2.0;Waste prevention;3;8.0;Condition;Rights & Dignity;Culture & Society;;;1.056058;0.756477;1.489796;0.890244;0.486667;0.8
71;Ljudi bilo koje vjere se druže zajedno.;People of whichever faith hang out with each other;women;peace;2.0;1.0;1.0;4;6.9;1.3;;6;9.0;Ethno-religious identity;1;3.0;Social;Culture & Society;Culture & Society;1.0;1.0;1.056058;1.512953;0.744898;0.890244;0.17527;0.904348
