#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
37;Ambulanta u Zaliku radi u 2 smjene.;The clinic in Zalik works in two shifts.;men;life together;3.0;7.0;2.0;12;23.2;;longer opening hours with two shifts / 2/12/22;23;2.0;0;0;0;0;Rights & Dignity;0;-4.0;2.0;2.381375;2.026415;6.594737;0.800895;14.32;0.0
42;Akcije čišćenja pokreću građani, a ne stranke;Clean up events are started by citizens, not by political parties.;youth;life together;1.0;4.0;6.0;11;6.4;18.3;;6;4.0;Activism;18;3.0;Environmental Restoration;Culture & Society;Rights & Dignity;-3.0;1.0;2.182927;0.675472;3.768421;2.402685;0.179;1.455882
43;Ljudi koji ne poštuju zakone se kažnjavaju.;People who don't obey the law get punished.;men;life together;7.0;1.0;3.0;11;9.3;4.0;;9;3.0;Political functionality;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;;;2.182927;4.728302;0.942105;1.201342;1.339456;1.736842
44;Gradske vlasti rade na spajanju ljudi.;City officials work on bringing people together.;men;life together;3.0;5.0;3.0;11;9.5;1.0;;9;5.0;Political coexistence;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;-2.0;3.0;2.182927;2.026415;4.710526;1.201342;1.339456;1.670886
45;Rješavanje problema u Mostaru ne ide sporo.;The solving of problems in Mostar doesn't go slowly.;men;life together;2.0;4.0;5.0;11;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;-2.0;2.0;2.182927;1.350943;3.768421;2.002237;1.339456;0.0
46;Građani su glavni razlog zašto u Mostaru postoji problem smeća, a ne vlast, jer ljudi bacaju smeće.;The citizens are the main reason why there is an issue with the trash in Mostar, not the government, because people are the ones who litter.;women;life together;3.0;2.0;6.0;11;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;;;2.182927;2.026415;1.884211;2.402685;0.80433;1.375
53;U Zaliku ima više kafića za mlade;In Zalik there are a lot of cafes for youth.;women;life together;1.0;;9.0;10;15.0;11.1;;15;0.0;Youth;11;10.0;Cafes and Space;Culture & Society;Culture & Society;;;1.984479;0.675472;0.0;3.604027;0.656158;1.653543
54;Ljudi ne moraju ići u privatne ordinacije da se liječe.;People don't have to go to private clinics to get treated.;men;life together;5.0;1.0;4.0;10;23.2;4.2;2022-02-12 00:00:00;23;2.0;0;4;2.0;Corruption;Rights & Dignity;Rights & Dignity;;;1.984479;3.377358;0.942105;1.60179;11.933333;1.578947
55;Ljudi koji dođu i posjete “Zipline” na Fortici ne ostavljaju smeće od ručka tu gdje su jeli.;People who come and visit the Zipline at Fortica don't leave trash from their lunch around where they ate.;women;life together;;3.0;7.0;10;18.2;3.5;;18;2.0;Waste prevention;3;5;Use of outdoors;Rights & Dignity;Culture & Society;-3.0;3.0;1.984479;0.0;2.826316;2.803132;0.731209;1.25
63;Više od 50 osoba učestvuje u organizovanim akcijama čišćenja komšiluka;More than 50 people participate in the organized cleaning event in the neighborhood.;youth;life together;5.0;1.0;3.0;9;6.4;18.3;;6;4.0;Activism;18;3.0;Environmental Restoration;Culture & Society;Rights & Dignity;;;1.786031;3.377358;0.942105;1.201342;0.146455;1.191176
