#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
39;Zbližava se mladež koja dolazi u kafić pored Cima zbog muzike.;Young people that gather in the cafe next to Cim for music are becoming friendlier.;youth;life together;;;9.0;9;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;0;9;2.435294;0.0;0.0;5.290735;0.144882;1.444444
40;Mostarci podržavaju udruge koje pomažu osobama sa zdravstvenim problemima.;Residents of Mostar are supportive of organizations that assist people with health issues.;youth;life together;4.0;2.0;3.0;9;9.7;6.3;;9;7.0;Citizens' associations;6;3.0;Social Trust;Rights & Dignity;Culture & Society;2;2;2.435294;4.066298;2.044444;1.763578;2.225806;2.087629
41;Mostar nije nacionalno podijeljen.;The city of Mostar is not separated by nationality.;women;life together;;;9.0;9;1.3;6.9;;1;3.0;Social;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;9;2.435294;0.0;0.0;5.290735;2.76;2.087629
42;Humanitarne organizacije u Mostaru pomažu svima u Mostaru kojima je pomoć potrebna bez obzira na vjeru.;Humanitarian organizations in Mostar assist everybody in the city who requires assistance, regardless of religion.;women;life together;4.0;1.0;4.0;9;9.7;6.9;;9;7.0;Citizens' associations;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;3;1;2.435294;4.066298;1.022222;2.351438;2.225806;2.087629
43;U Mostaru postoji nova sportska dvorana.;There is a new sports hall in Mostar.;youth;life together;6.0;1.0;2.0;9;12.1;17.2;;12;10.0;Facilities;17;2.0;Public Spaces;Culture & Society;Economic Activity & Livelihoods;5;1;2.435294;6.099448;1.022222;1.175719;2.855172;2.106383
44;Djeca u Mostaru imaju dovoljno opcija za sportske aktivnosti (npr. ples, nogomet).;Mostar's children have a wide range of sports activities to choose from (eg dancing, football).;youth;life together;1.0;5.0;3.0;9;12.0;15.0;;12;0.0;Sport;15;0;Youth;Culture & Society;Culture & Society;-4;1;2.435294;1.016575;5.111111;1.763578;2.855172;1.444444
49;Đemo je s lopatom došao iz Brankovca da čisti Trimušu.;Đemo arrived with a shovel from Brankovac to clean Trimušu.;men;life together;1.0;3.0;4.0;8;3.2;18.3;;3;2.0;Public Ownership;18;3.0;Environmental Restoration;Culture & Society;Rights & Dignity;-2;1;2.164706;1.016575;3.066667;2.351438;0.137173;2.526316
50;Mladi i stari u Mostaru imaju što naučiti jedni od drugih.;Both the young and the elderly in Mostar can learn from each other.;youth;life together;;2.0;;8;6.6;19.2;;6;6.0;Inter-generational Relations;19;2.0;Non-school based education;Culture & Society;Rights & Dignity;-2;2;2.164706;0.0;2.044444;0.0;0.168614;2.222222
51;U Mostaru, ako se nekome nešto desi na ulici, neko će mu/joj pomoći.;If something happens to someone on the street in Mostar, someone will come to his or her aid.;women;life together;4.0;2.0;2.0;8;1.3;3.3;;1;3.0;Social;3;3.0;Comfort;Culture & Society;Culture & Society;2;2;2.164706;4.066298;2.044444;1.175719;2.453333;1.789954
52;Organizuje se mali košarkaški turnir na Trimuši (imaju 2 koša).;At Trimuša, a small basketball competition is being organized (they have 2 baskets).;men;life together;1.0;4.0;3.0;8;12.3;3.5;;12;3.0;Activities;3;5;Use of outdoors;Culture & Society;Culture & Society;-3;1;2.164706;1.016575;4.088889;1.763578;2.537931;1.789954
53;Red Bull skokovi sa Starog mosta organiziraju veliki broj dešavanja (partyji, koncerti itd.).;A variety of activities (parties, concerts, etc.) are held during The Red Bull Cliff Diving in Mostar.;men;life together;1.0;3.0;4.0;8;12.3;11.2;;12;3.0;Activities;11;2.0;Social;Culture & Society;Culture & Society;-2;1;2.164706;1.016575;3.066667;2.351438;2.537931;1.417323
65;Stanari jednog ulaza na Bijelom Brijegu zajedno uređuju dvorište zgrade.;Tenants of one entrance at Bijeli Brijeg are working together to maintain the building's yard.;men;life together;4.0;2.0;1.0;7;3.2;6.1;2022-02-14;3;2.0;Public Ownership;6;10.0;Us V Them;Culture & Society;Culture & Society;2;1;1.894118;4.066298;2.044444;0.587859;0.120026;1.623711
