#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
41;U Zaliku uvijek sretnete poznate ljude koji tu žive.;In Zalik you always see familiar faces of those who live there.;youth;peace;2.0;4.0;5.0;11;6.0;;;6;0.0;Social Relations;0;0;0;Culture & Society;0;-2;2;2.531746;1.592157;4.365591;2.301587;0.187474;0.0
47;U Zaliku, čak i ako te neko ne pozdravi, neće ti ništa ružno reći.;In Zalik even if someone doesn't greet you, they won't say anything bad to you.;women;peace;2.0;1.0;7.0;10;6.3;;;6;3.0;Social Trust;0;0;0;Culture & Society;0;1;1;2.301587;1.592157;1.091398;3.222222;0.170431;0.0
48;Bošnjakinja iz Zalika ima prijateljice koje žive na zapadnoj strani.;A Bosniak woman from Zalik has friends who live on the west side of Mostar.;women;peace;2.0;4.0;4.0;10;6.9;6.2;;6;9.0;Ethno-religious identity;6;2.0;Personal relationships;Culture & Society;Culture & Society;-2;2;2.301587;1.592157;4.365591;1.84127;0.170431;1.552347
49;Postoji rasvjeta na stepenicama prema Gornjem Zaliku.;There are street lights on the stairs towards Gornji Zalik (Upper Zalik).;men;peace;5.0;;5.0;10;17.3;;;17;3.0;Public Lighting;0;0;0;Economic Activity & Livelihoods;0;5;5;2.301587;3.980392;0.0;2.301587;3.903846;0.0
50;Dječak iz Zalika nema problema, jer ne navija za Velež.;A boy from Zalik who doesn't cheer for Velež doesn't have any problems (because of it.);men;peace;4.0;1.0;5.0;10;15.0;12.0;;15;0.0;Youth;12;0;Sport;Culture & Society;Culture & Society;3;1;2.301587;3.184314;1.091398;2.301587;0.751852;1.37931
51;Mladi u Mostaru se upoznaju kroz zajedničke projekte.;Young people in Mostar meet each other through mutual projects.;men;peace;;4.0;6.0;10;15.1;15.5;;15;10.0;Engagement;15;5;Inclusion;Culture & Society;Culture & Society;-4;4;2.301587;0.0;4.365591;2.761905;0.751852;1.481481
52;Djeca mogu ići u džamiju bezbjedno.;Children can go to the mosque safely.;women;peace;;6.0;4.0;10;14.4;15.0;;14;4.0;Religious buildings;15;0;Youth;Culture & Society;Culture & Society;-6;4;2.301587;0.0;6.548387;1.84127;15.859375;1.481481
56;U MZ Zalik nema sukoba na nacionalnoj osnovi.;There are no conflicts on the basis of nationality in MZ Zalik.;men;peace;3.0;3.0;3.0;9;6.9;4.0;;6;9.0;Ethno-religious identity;4;0;Criminality and Legal Enforcement;Culture & Society;Rights & Dignity;0;3;2.071429;2.388235;3.274194;1.380952;0.153388;1.453846
57;Rješavanje komunalnih problema u Zaliku ne traje dugo.;Solving communal problems (typically infrastructure-related) in Zalik doesn't take a long time.;men;peace;5.0;;4.0;9;9.3;17.0;;9;3.0;Political functionality;17;0;Infrastructure;Rights & Dignity;Economic Activity & Livelihoods;5;4;2.071429;3.980392;0.0;1.84127;1.235294;1.730769
58;U Zaliku nema pasa lutalica.;In Zalik there are no stray dogs.;men;peace;3.0;1.0;5.0;9;10.7;;;10;7.0;Animals;0;0;0;Rights & Dignity;0;2;1;2.071429;2.388235;1.091398;2.301587;2.378906;0.0
59;Ljudi dobivaju poslove zato što su edukovani za njih.;People get jobs because they have been educated for them.;women;peace;4.0;;5.0;9;20.2;19.0;;20;2.0;Hiring & employment;19;0;Education;Economic Activity & Livelihoods;Rights & Dignity;4;4;2.071429;3.184314;0.0;2.301587;4.423729;1.785124
60;I kad su utakmice, smije se preći na drugu stranu grada bez straha od napada.;Even when football games are going on, you can go to the west side of the city without the fear of being attacked.;women;peace;4.0;1.0;4.0;9;12.3;2.0;;12;3.0;Activities;2;0;Tranquility/Security;Culture & Society;Security;3;1;2.071429;3.184314;1.091398;1.84127;15.75;1.5
61;U školi se ne uči da djeca ne vole drugu djecu .;In school the kids aren't taught to not love other kids;women;peace;2.0;;7.0;9;19.3;6.1;;19;3.0;School inclusiveness;6;10.0;Us V Them;Rights & Dignity;Culture & Society;2;2;2.071429;1.592157;0.0;3.222222;0.629132;1.397112
62;Učenici na putu u osnovnu školu koriste novoizgrađenu pasarelu umjesto sto prelaze cestu na nedozvoljenom mjestu.;Students on their way to primary school use the newly built footbridge (in Zalik) instead of crossing the road in an unauthorized place.;men;peace;5.0;;4.0;9;21.3;2.3;;21;3.0;Pedestrian Safety;2;3.0;Movement;Culture & Society;Security;5;4;2.071429;3.980392;0.0;1.84127;2.303909;1.5
