#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
36.0;Kad igra Hrvatska reprezentacija, svi se okupljaju u kafićima.;Everyone gathers at cafés when the Croatian national team plays.;youth;peace;3.0;2.0;4.0;9;11.1;12.3;;11;10.0;Cafes and Space;12;3.0;Activities;Culture & Society;Culture & Society;1;2;2.364296;3.03352;2;2.200608;0.664627;1.184211
37.0;Ultrasi su skupljali humanitarnu pomoć za ljude nakon potresa u Zagrebu.;The Ultras collected humanitarian aid for people after the Zagreb earthquake.;youth;peace;1.0;4.0;4.0;9;12.3;11.1;;12;3.0;Activities;11;10.0;Cafes and Space;Culture & Society;Culture & Society;-3;1;2.364296;1.011173;4;2.200608;8.573684;1.325581
38.0;Ultrasi su pušteni da pređu granicu s Hrvatskom da odnesu humanitarnu pomoć, koju su skupili za ljude nakon potresa u Zagrebu.;The Ultras were given permission to cross the Croatian border in order to take the humanitarian aid they collected for people affected by the Zagreb earthquake.;youth;peace;;5.0;4.0;9;6.1;2.3;;6;10.0;Us V Them;2;3.0;Movement;Culture & Society;Security;-5;4;2.364296;0.0;5;2.200608;0.320165;1.961538
45.0;Kad igra Hrvatska reprezentacija, svi zajedno navijaju u kafićima.;When the Croatian national team plays, everyone cheer for them in cafés.;youth;peace;;3.0;5.0;8;11.1;12.3;;11;10.0;Cafes and Space;12;3.0;Activities;Culture & Society;Culture & Society;-3;3;2.101597;0.0;3;2.75076;0.590779;1.052632
46.0;HDZ, SDA i Dodik piju kavu skupa.;HDZ, SDA and Dodik drink coffee together.;men;peace;2.0;3.0;3.0;8;9.9;9.3;;9;9.0;Political parties;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;-1;2;2.101597;2.022346;3;1.650456;2.231125;1.491525
47.0;Mostar nije tako veliki grad, pa se može šetati od kuće do posla.;Since Mostar is not a large city, you can walk from home to work.;men;peace;1.0;;7.0;8;2.3;;;2;3.0;Movement;0;0.0;0;Security;0;1;1;2.101597;1.011173;0;3.851064;1.092006;0.0
48.0;Djevojka sa Bijelog Brijega ne osjeća strah da noću sama hoda velikim stepenicama jer ima rasvjete.;A girl from Bijeli Brijeg is not scared to walk them alone at night up/down the big stairs because they are illuminated.;youth;peace;5.0;;3.0;8;22.3;17.3;;22;3.0;Safety and comfort;17;3.0;Public Lighting;Culture & Society;Economic Activity & Livelihoods;5;3;2.101597;5.055866;0;1.650456;6.241379;1.627119
54.0;Bijeli Brijeg kao naselje je, uz malo rada, postalo još bolje.;With some work, Bijeli Brijeg has improved as a neighborhood.;men;peace;4.0;1.0;2.0;7;3.2;6.4;;3;2.0;Public Ownership;6;4.0;Activism;Culture & Society;Culture & Society;3;1;1.838897;4.044693;1;1.100304;0.22625;1.408805
55.0;U Mostaru svi uživaju u kavi na suncu.;In Mostar everyone enjoys coffee in the sun.;youth;peace;;1.0;6.0;7;11.1;3.2;;11;10.0;Cafes and Space;3;2.0;Public Ownership;Culture & Society;Culture & Society;-1;1;1.838897;0.0;1;3.300912;0.516932;1.53125
56.0;Na Koledžu ujedinjenog svijeta u Mostaru se spajaju mnogi učenici različitih vjera.;The United World College in Mostar brings together students of all faiths.;youth;peace;;1.0;6.0;7;19.3;6.9;;19;3.0;School inclusiveness;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;-1;1;1.838897;0.0;1;3.300912;8.798611;1.408805
57.0;Na akciju čišćenja na Trimuši dolaze svi ljudi iz Mostara;People from all across Mostar come to the cleaning action in Trimuša.;youth;peace;1.0;;6.0;7;18.3;3.2;;18;3.0;Environmental Restoration;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;1;1;1.838897;1.011173;0;3.300912;2.946512;1.53125
58.0;Za razliku od Sarajeva, gdje su sukobi svaki dan, sukobi u Mostaru su izolirane situacije.;Unlike Sarajevo, where conflicts occur on a daily basis, conflicts in Mostar are isolated situations.;youth;peace;;5.0;2.0;7;2.2;4.4;;2;2.0;Confidence;4;4.0;Violent Crime;Security;Rights & Dignity;-5;2;1.838897;0.0;5;1.100304;0.955505;1.702703
59.0;Ljudi nisu izgubili nadu u promjene, zato što se u Mostaru godinama ništa nije mijenjalo.;People in Mostar have not given up hope in progress despite the fact that nothing has changed in years.;women;peace;2.0;4.0;1.0;7;2.2;9.3;;2;2.0;Confidence;9;3.0;Political functionality;Security;Rights & Dignity;-2;1;1.838897;2.022346;4;0.550152;0.955505;1.305085
60.0;Mostar je grad koji potiče druženje (terase, sunce...).;Mostar is a city that encourages socializing (on [cafe] terraces, in the sun ...).;women;peace;1.0;4.0;2.0;7;11.1;3.0;;11;10.0;Cafes and Space;3;0.0;Public space;Culture & Society;Culture & Society;-3;1;1.838897;1.011173;4;1.100304;0.516932;1.53125
61.0;Ljudi sa Bijelog Brijega se druže u dva lokalna kafića (Iris i Kvart), koji su stalno puni.;people from Bijelo Brijeg socialize in two local cafés (Iris and Kvart), which are constantly full.;women;peace;;6.0;1.0;7;11.1;;;11;10.0;Cafes and Space;0;0.0;0;Culture & Society;0;-6;1;1.838897;0.0;6;0.550152;0.516932;0.0
62.0;Građani ne bacaju smeće po ulicama nego u kontejnere.;Citizens don't throw their trash on the streets but in containers.;women;peace;4.0;1.0;2.0;7;18.2;3.2;;18;2.0;Waste prevention;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;3;1;1.838897;4.044693;1;1.100304;2.946512;1.53125
63.0;Na Bijelom Brijegu postoji bolnica.;There is a hospital in Bijeli Brijeg.;men;peace;1.0;3.0;3.0;7;23.2;17.4;;23;2.0;0;17;4.0;Buildings;Rights & Dignity;Economic Activity & Livelihoods;-2;1;1.838897;1.011173;3;1.650456;5.461207;1.423729
64.0;Ljudi pomažu jedni drugima kad se dogodi neki manji slučaj, iako mediji o tome ne izvještavaju.;Individuals support each other when a minor incident occur even if the media does not cover it.;youth;peace;;1.0;6.0;7;13.0;1.3;;13;0.0;Media;1;3.0;Social;Culture & Society;Culture & Society;-1;1;1.838897;0.0;1;3.300912;26.395833;3.027027
72.0;Djeca su zadovoljna jer se igraju na otvorenom.;Children are satisfied because they play outdoors.;men;peace;1.0;4.0;1.0;6;15.0;3.1;;15;0.0;Youth;3;10.0;Open Spaces;Culture & Society;Culture & Society;-3;1;1.576197;1.011173;4;0.550152;0.679599;1.3125
73.0;Stanovnici Bijelog Brijega ne broje dane koliko će trebati da neko uništi novi park.;The residents of Bijeli Brijeg do not count how many days it will take until the new park is destroyed.;men;peace;1.0;3.0;2.0;6;6.3;3.8;;6;3.0;Social Trust;3;8.0;Condition;Culture & Society;Culture & Society;-2;1;1.576197;1.011173;3;1.100304;0.213443;1.3125
74.0;Mnogo ljudi iz cijelog svijeta dolazi u Mostar, tako da ljudi iz Mostara imaju priliku upoznati druge nacije.;Because visitors from all over the world come to Mostar, people from Mostar have the opportunity to get to know different ethnicities/nations.;youth;peace;;1.0;5.0;6;1.3;20.4;;1;3.0;Social;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;-1;1;1.576197;0.0;1;2.75076;1.834459;1.625
75.0;Na Bijelom Brijegu postoji stadion.;There is a stadium in Bijeli Brijeg.;men;peace;;1.0;5.0;6;17.2;12.1;;17;2.0;Public Spaces;12;10.0;Facilities;Economic Activity & Livelihoods;Culture & Society;-1;1;1.576197;0.0;1;2.75076;1.533898;0.789474
76.0;Iza stadiona je izgrađen novi park za djecu.;Behind the stadium a new children's park is built.;youth;peace;2.0;4.0;;6;3.8;;;3;8.0;Condition;0;0.0;0;Culture & Society;0;-2;2;1.576197;2.022346;4;0.0;0.193929;0.0
