#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
35;Djevojkama se ne prijeti kada u dresu „Veleža“ prođu pored kafića „Dario“.;Girls are not being threatened walking past cafe Dario wearing a Velež jersey;women;peace;2.0;;3.0;5;22.2;6.1;;22;2.0;Gender based violence;6;10.0;Us V Them;Culture & Society;Culture & Society;2;2;2.016509;1.988372;0.0;3.246835;10.178571;1.807692
36;Dobri ljudi ne pričaju jednima o drugima iza leđa;Good people do not talk about one another behind their backs;youth;peace;2.0;3.0;2.0;7;1.1;6.3;;1;10.0;Personal value;6;3.0;Social Trust;Culture & Society;Culture & Society;-1;2;2.823113;1.988372;5.457447;2.164557;3.5;2.530769
43;Grad organizuje programe da se djeca druže uživo;The city organizes events where children can play together in real life;youth;peace;1.0;1.0;;2;3.7;15.0;;3;7.0;Activities;15;0;Youth;Culture & Society;Culture & Society;0;1;0.806604;0.994186;1.819149;0.0;0.388636;0.553846
52;Imam iz Podhuma se osjećao ugodno na otvorenju katoličke crkve u Mostaru.;The Imam from Podhum felt comfortable at the opening of the Catholic church in Mostar;men;peace;;;1.0;1;14.2;14.4;;14;2.0;Interfaith relations;14;4.0;Religious buildings;Culture & Society;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.551613;0.322581
54;Ime osobe nije bitno nego njegova/njena vrijednost kao čovjeka.;A person's name is not important, but rather his/her value as a human;men;peace;1.0;1.0;6.0;8;1.1;6.9;;1;10.0;Personal value;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;1;3.226415;0.994186;1.819149;6.493671;4;2.892308
55;Izlazak nije samo klub, nego i šetnja s prijateljima;Going out not only means a club, but also a walk with friends;youth;peace;1.0;;1.0;2;11.1;3.1;;11;10.0;Cafes and Space;3;10.0;Open Spaces;Culture & Society;Culture & Society;1;1;0.806604;0.994186;0.0;1.082278;1.243636;0.909091
56;Ja nisam okružena nacionalnim podjelama;I am not surrounded by divisions based on nationality;women;peace;1.0;;2.0;3;6.1;6.9;;6;10.0;Us V Them;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;1;1;1.209906;0.994186;0.0;2.164557;0.083961;1.084615
57;Jednako se lijepo družim i sa Matijom i sa Muhamedom;I hang out equally well with Matthias and Muhammad;youth;peace;;1.0;1.0;2;6.2;6.9;;6;2.0;Personal relationships;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-1;1;0.806604;0.0;1.819149;1.082278;0.055974;0.723077
58;Kada djeca od 12 godina ne moraju razmišljati da li će ih huligani napasti u blizini stadiona Zrinjskog;When 12-year-olds don't have to think about whether hooligans will attack them near the Zrinjski Stadium;youth;peace;;1.0;1.0;2;4.1;15.0;;4;10.0;Sport & Hooliganism;15;0;Youth;Rights & Dignity;Culture & Society;-1;1;0.806604;0.0;1.819149;1.082278;0.220645;0.553846
60;Kada ljudi, ako im je potreban novac, pitaju;When people, if money is of importance to them, ask for it.;youth;peace;;1.0;;1;6.1;6.3;;6;10.0;Us V Them;6;3.0;Social Trust;Culture & Society;Culture & Society;-1;1;0.403302;0.0;1.819149;0.0;0.027987;0.361538
61;Kada ljudi, ako im je potreban novac, pitaju, a ne pljačkaju;When people, if they need money, ask for it rather than robbing.;youth;peace;2.0;1.0;1.0;4;4.3;;;4;3.0;Non-violent Crime;0;0;0;Rights & Dignity;0;1;1;1.613208;1.988372;1.819149;1.082278;0.44129;0.0
62;Kada navijači imaju obaveze (kao posao, porodica, škola) od sjedenja na kavi/kafi i planiranja napada;When sports fans have more obligations (such as a job, family, school) than sitting around, having coffee and planning riots;youth;peace;1.0;1.0;1.0;3;11.0;4.1;;11;0.0;Socializing;4;10.0;Sport & Hooliganism;Culture & Society;Rights & Dignity;0;1;1.209906;0.994186;1.819149;1.082278;1.865455;1.209677
63;Kada navijači ne dogovaraju susret radi bitke (npr. petkom u 18 h kod Ere);When the supporters of local teams don't arrange a meeting to fight (e.g. Fridays at 6, by the hotel Ero);youth;peace;3.0;2.0;2.0;7;4.1;12.0;;4;10.0;Sport & Hooliganism;12;0;Sport;Rights & Dignity;Culture & Society;1;2;2.823113;2.982558;3.638298;2.164557;0.772258;2.172414
64;Kada ne dolazi do tučnjave među navijačima zbog crtanja grafita;When there is no fight among the fans over drawing graffiti;youth;peace;1.0;;1.0;2;4.1;6.1;;4;10.0;Sport & Hooliganism;6;10.0;Us V Them;Rights & Dignity;Culture & Society;1;1;0.806604;0.994186;0.0;1.082278;0.220645;0.723077
65;Kada pijani navijači (ljuti zbog poraza Zrinjskog) verbalno ne napadaju na ulici žene koje nose majicu Veleža;When drunk fans (angry because Zrninjski lost the game) don't verbally assault women wearing Velež jearsy;youth;peace;;;1.0;1;4.1;22.2;;4;10.0;Sport & Hooliganism;22;2.0;Gender based violence;Rights & Dignity;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.110323;0.428571
66;Kada se dobro slažu Bošnjaci i Hrvati koji žive jedni pored drugih;When Bosniaks and Croats living close to one another get along well;youth;peace;1.0;;1.0;2;1.3;6.9;;1;3.0;Social;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;1;1;0.806604;0.994186;0.0;1.082278;1;0.723077
67;Kada se ljudi druže bez obzira da li pripadaju istoj religiji;When people socialize regardless of whether they belong to the same religion;youth;peace;;;1.0;1;6.9;11.4;;6;9.0;Ethno-religious identity;11;4.0;Informal;Culture & Society;Culture & Society;0;1;0.403302;0.0;0.0;1.082278;0.027987;0.44
68;Kada su ljudi u mom okruženju svih religija;When the people in my surrounding are from all religions;youth;peace;;;3.0;3;6.9;14.2;;6;9.0;Ethno-religious identity;14;2.0;Interfaith relations;Culture & Society;Culture & Society;0;3;1.209906;0.0;0.0;3.246835;0.083961;0.967742
69;Kada u naselju nema huligana;When there aren't any hooligans in the neighbourhoods;youth;peace;;1.0;1.0;2;4.1;;;4;10.0;Sport & Hooliganism;0;0;0;Rights & Dignity;0;-1;1;0.806604;0.0;1.819149;1.082278;0.220645;0.0
72;Komšija je vrijedniji nego rođeni brat, jer može odmah doći u slučaju potrebe.;A neighbour is worth more than one's own brother, because they can always come in the time of need;men;peace;1.0;;;1;6.1;6.12;;6;10.0;Us V Them;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;1;1;0.403302;0.994186;0.0;0.0;0.027987;0.361538
73;Komšije u Podhumu se druže po kućama.;Neighbors in Podhum socialize at one another's homes.;men;peace;3.0;1.0;2.0;6;11.4;6.12;;11;4.0;Informal;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;2;1;2.419811;2.982558;1.819149;2.164557;3.730909;2.169231
