#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
43;Na autobuskom stajalištu ispred Opštine u Blagaju ima klupa za starije.;There is a bench for the elderly at the bus stop in front of the Municipality of Blagaj.;women;life together;4.0;3.0;1.0;8;3.3;17.2;;3;3.0;Comfort;17;2.0;Public Spaces;Culture & Society;Economic Activity & Livelihoods;1;1;2.245614;2.969072;2.322581;1.082707;0.6144;1.422222
47;Red za Black Friday nije veći od reda na protestima.;The Black Friday line is no longer than the line of protesting.;men;life together;;2.0;5.0;7;6.4;3.2;;6;4.0;Activism;3;2.0;Public Ownership;Culture & Society;Culture & Society;-2;2;1.964912;0.0;1.548387;5.413534;0.195349;2.333333
48;Blagaj Climbing Fest je i društveni dobitak za sve;Blagaj Climbing Festival is a social benefit for everyone.;men;life together;2.0;3.0;2.0;7;3.7;20.8;;3;7.0;Activities;20;8.0;Livelihoods;Culture & Society;Economic Activity & Livelihoods;-1;2;1.964912;1.484536;2.322581;2.165414;0.5376;1.521739
49;Kada ima kurseva i edukacija u Blagaju (grafički dizajn, strani jezici kuhanje, robotika, informatički kursevi);Blagaj offers courses and education (graphic design, foreign language learning, cooking, robotics, computer courses);youth;life together;1.0;3.0;3.0;7;19.2;;;19;2.0;Non-school based education;0;0;0;Rights & Dignity;0;-2;1;1.964912;0.742268;2.322581;3.24812;0.626087;0.0
55;Svi problemi su ljudima u glavi;All problems are in people's heads.;men;life together;2.0;2.0;2.0;6;2.2;23.1;;2;2.0;Confidence;23;10.0;Mental Health;Security;Rights & Dignity;0;2;1.684211;1.484536;1.548387;2.165414;0.857143;2.1
56;U Blagaju postoji prostor gdje žene imaju neke zajedničke aktivnosti (radionice, druže se, piju kafu/čaj).;There is a place in Blagaj where women may participate in joint activities (workshops, socializing, coffee/tea drinking).;women;life together;3.0;3.0;;6;22.4;11.0;;22;4.0;Gender based activites;11;0;Socializing;Culture & Society;Culture & Society;0;3;1.684211;2.226804;2.322581;0.0;1.542857;1.170732
57;Dijete koje dođe u Mostar ne pomisli da još traje rat, jer vidi ruševine.;A child who comes to Mostar does not think that the war is still going on because he or she sees ruins.;women;life together;3.0;3.0;;6;7.0;17.4;;7;0.0;Legacies of War;17;4.0;Buildings;Dealing with the Past;Economic Activity & Livelihoods;0;3;1.684211;2.226804;2.322581;0.0;1.107692;1.066667
58;Politika ne remeti suživot.;Coexistence is not disrupted by politics.;youth;life together;3.0;1.0;2.0;6;9.1;1.0;;9;10.0;City politics;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;2;1;1.684211;2.226804;0.774194;2.165414;1.058824;1.178571
59;Život je dobar za sve ljude;Life is good for all people;men;life together;3.0;1.0;2.0;6;1.1;;;1;10.0;Personal value;0;0;0;Culture & Society;0;2;1;1.684211;2.226804;0.774194;2.165414;0.155844;0.0
65;U BiH je vazda bilo suživota.;There has always been coexistence in Bosnia and Herzegovina.;men;life together;2.0;2.0;1.0;5;1.0;;;1;0.0;Integration and Acceptance;0;0;0;Culture & Society;0;0;1;1.403509;1.484536;1.548387;1.082707;0.12987;0.0
66;Bogastvo je kad u ulici žive i Pravoslavci i Katolici i Muslimani.;Wealth is when Orthodox, Catholic, and Muslim people all reside on one street.;women;life together;3.0;2.0;;5;6.9;1.0;;6;9.0;Ethno-religious identity;1;0;Integration and Acceptance;Culture & Society;Culture & Society;1;2;1.403509;2.226804;1.548387;0.0;0.139535;0.982143
67;Žene nemaju predrasuda šta će im neko reći na nekom organizovanom događaju.;Women are unconcerned about what others may say to them during an organized event.;women;life together;5.0;;;5;22.1;;;22;10.0;Gender norms;0;0;0;Culture & Society;0;5;5;1.403509;3.71134;0.0;0.0;1.285714;0.0
85;Svi učestvuju kada se organizuju humanitarni koncerti;Everyone participates when charity concerts are organized.;youth;life together;2.0;1.0;1.0;4;6.11;1.3;;6;11.0;Cooperation & Coexistence;1;3.0;Social;Culture & Society;Culture & Society;1;1;1.122807;1.484536;0.774194;1.082707;0.111628;0.785714
86;Mlađi ne koriste mobitel previše, nego komuniciraju uživo;Young people do not use their mobile phones too much, but rather communicate in person.;youth;life together;1.0;1.0;2.0;4;6.5;15.0;;6;5.0;Technology;15;0;Youth;Culture & Society;Culture & Society;0;1;1.122807;0.742268;0.774194;2.165414;0.111628;2.4
87;Sterotipi se razbijaju kada djecu učimo pravim vrijednostima;Stereotypes are broken when children are taught true values.;men;life together;;4.0;;4;1.3;19.0;;1;3.0;Social;19;0;Education;Culture & Society;Rights & Dignity;-4;4;1.122807;0.0;3.096774;0.0;0.103896;1.314286
88;Djevojka i momak, koji u Blagaju žive 2 godine, imaju predivne odnose s komšijama.;A girlfriend and boyfriend, who have been living in Blagaj for 2 years, have great relationships with their neighbors.;women;life together;;4.0;;4;6.11;6.12;;6;11.0;Cooperation & Coexistence;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;-4;4;1.122807;0.0;3.096774;0.0;0.111628;1.433333
89;Bošnjačka i srpska djeca se druže.;Bosniak and Serb children socialize.;women;life together;;;4.0;4;15.5;6.9;;15;5.0;Inclusion;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;0;4;1.122807;0.0;0.0;4.330827;1.066667;1.433333
90;Turizam utiče na zajednički život kroz saradnju (noćenja, hrana, ugostiteljstvo);Tourism has an impact on life together through cooperation (overnight stays, food, catering);men;life together;1.0;3.0;;4;20.4;20.8;;20;4.0;Tourism;20;8.0;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;-2;1;1.122807;0.742268;2.322581;0.0;1.252174;0.869565
91;Kada se škola u Blagaju od 17 do 22 h koristi za kurseve i edukacije;The Blagaj school is utilized for courses and education from 5PM to 10PM.;youth;life together;2.0;;2.0;4;19.2;;;19;2.0;Non-school based education;0;0;0;Rights & Dignity;0;2;2;1.122807;1.484536;0.0;2.165414;0.357764;0.0
92;Na Univerzitetu studiraju studenti svih vjera i nacionalnosti bez ikakvih problema.;At the university, students of all faiths and nationalities study together without any sort of problems.;women;life together;2.0;;2.0;4;19.3;;;19;3.0;School inclusiveness;0;0;0;Rights & Dignity;0;2;2;1.122807;1.484536;0.0;2.165414;0.357764;0.0
93;Mediji ne izazivaju sumnju u stvari koje su se stabilizovale, kao npr. suživot;The media do not raise suspicions about things that have stabilized, such as coexistence;men;life together;3.0;;1.0;4;13.0;1.0;;13;0.0;Media;1;0;Integration and Acceptance;Culture & Society;Culture & Society;3;1;1.122807;2.226804;0.0;1.082707;48.0;0.785714
94;Očuvanje prirode i okoliša je prioritetnije od nacionalnih tema;Taking care of nature and the environment is a greater priority than nationalistic themes.;men;life together;2.0;1.0;1.0;4;18.3;3.2;;18;3.0;Environmental Restoration;3;2.0;Public Ownership;Rights & Dignity;Culture & Society;1;1;1.122807;1.484536;0.774194;1.082707;32.0;1.333333
116;Najbitnije je da djeca koja se različito zovu i dolaze iz drugačijih sredina vide da su samo djeca;The most essential thing is that children who are called different names and come from different areas see that they are just children.;men;life together;2.0;;1.0;3;15.5;6.9;;15;5.0;Inclusion;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;2;1;0.842105;1.484536;0.0;1.082707;0.8;1.075
117;Sterotipi se razbijaju kada djecu učimo da prihvataju drugo i drugačije;Stereotypes are broken when we teach children to accept the other and the different.;men;life together;1.0;;2.0;3;1.1;19.0;;1;10.0;Personal value;19;0;Education;Culture & Society;Rights & Dignity;1;1;0.842105;0.742268;0.0;2.165414;0.077922;0.985714
118;Ljudi se okupljaju oko zdravih tema;People come together over healthy topics.;men;life together;;2.0;1.0;3;6.11;1.3;;6;11.0;Cooperation & Coexistence;1;3.0;Social;Culture & Society;Culture & Society;-2;1;0.842105;0.0;1.548387;1.082707;0.083721;0.589286
